p_id,Area,Item,Year,Production,Field ID,crop_id
20186,Chittagong,Maize,2015,4884,10704,10901
20187,Chittagong,Othres,2015,4277,10705,10905
20188,Chittagong,Rice,2015,8412,10705,10904
20189,Chittagong,Potato,2015,9807,10706,10903
20190,Chittagong,Wheat,2015,5150,10706,10902
20191,Chittagong,Maize,2016,5759,10704,10901
20192,Chittagong,Othres,2016,5593,10705,10905
20193,Chittagong,Rice,2016,9782,10705,10904
20194,Chittagong,Potato,2016,7687,10706,10903
20195,Chittagong,Wheat,2016,4976,10706,10902
20196,Chittagong,Maize,2017,6782,10704,10901
20197,Chittagong,Othres,2017,1780,10705,10905
20198,Chittagong,Rice,2017,17204,10705,10904
20199,Chittagong,Potato,2017,8453,10706,10903
20200,Chittagong,Wheat,2017,4785,10706,10902
20201,Dhaka,Maize,2008,6277,10707,10901
20202,Dhaka,Rice,2008,14277,10707,10904
20203,Dhaka,Othres,2008,6957,10708,10905
20204,Dhaka,Wheat,2008,6552,10708,10902
20205,Dhaka,Potato,2008,9364,10709,10903
20206,Dhaka,Maize,2009,2277,10707,10901
20207,Dhaka,Rice,2009,12277,10707,10904
20208,Dhaka,Othres,2009,3845,10708,10905
20209,Dhaka,Wheat,2009,6709,10708,10902
20210,Dhaka,Potato,2009,9465,10709,10903
20211,Dhaka,Maize,2010,2148,10707,10901
20212,Dhaka,Rice,2010,10661,10707,10904
20213,Dhaka,Othres,2010,4569,10708,10905
20214,Dhaka,Wheat,2010,6837,10708,10902
20215,Dhaka,Potato,2010,7963,10709,10903
20216,Dhaka,Maize,2011,4830,10707,10901
20217,Dhaka,Rice,2011,9928,10707,10904
20218,Dhaka,Othres,2011,4821,10708,10905
20219,Dhaka,Wheat,2011,5435,10708,10902
20220,Dhaka,Potato,2011,7981,10709,10903
20221,Dhaka,Maize,2012,4510,10707,10901
20222,Dhaka,Rice,2012,9720,10707,10904
20223,Dhaka,Othres,2012,4459,10708,10905
20224,Dhaka,Wheat,2012,5200,10708,10902
20225,Dhaka,Potato,2012,9156,10709,10903
20226,Dhaka,Maize,2013,5272,10707,10901
20227,Dhaka,Rice,2013,9459,10707,10904
20228,Dhaka,Othres,2013,4884,10708,10905
20229,Dhaka,Wheat,2013,6714,10708,10902
20230,Dhaka,Potato,2013,7946,10709,10903
20231,Dhaka,Maize,2014,4882,10707,10901
20232,Dhaka,Rice,2014,8242,10707,10904
20233,Dhaka,Othres,2014,2517,10708,10905
20234,Dhaka,Wheat,2014,5646,10708,10902
20235,Dhaka,Potato,2014,9784,10709,10903
20236,Dhaka,Maize,2015,2457,10707,10901
20237,Dhaka,Rice,2015,9759,10707,10904
20238,Dhaka,Othres,2015,5106,10708,10905
20239,Dhaka,Wheat,2015,6806,10708,10902
20240,Dhaka,Potato,2015,8937,10709,10903
20241,Dhaka,Maize,2016,2517,10707,10901
20242,Dhaka,Rice,2016,10277,10707,10904
20243,Dhaka,Othres,2016,1095,10708,10905
20244,Dhaka,Wheat,2016,6283,10708,10902
20245,Dhaka,Potato,2016,9496,10709,10903
20246,Dhaka,Maize,2017,4277,10707,10901
20247,Dhaka,Rice,2017,15040,10707,10904
20248,Dhaka,Othres,2017,7253,10708,10905
20249,Dhaka,Wheat,2017,5196,10708,10902
20250,Dhaka,Potato,2017,7945,10709,10903
20251,Khulna,Maize,2008,5793,10710,10901
20252,Khulna,Othres,2008,5429,10711,10905
20253,Khulna,Rice,2008,9873,10711,10904
20254,Khulna,Potato,2008,10628,10712,10903
20255,Khulna,Maize,2009,5246,10710,10901
20256,Khulna,Othres,2009,5625,10711,10905
20257,Khulna,Rice,2009,15246,10711,10904
20258,Khulna,Potato,2009,86201,10712,10903
20259,Khulna,Maize,2010,3661,10710,10901
20260,Khulna,Othres,2010,5197,10711,10905
20261,Khulna,Rice,2010,9683,10711,10904
20262,Khulna,Potato,2010,10890,10712,10903
20263,Khulna,Maize,2011,5611,10710,10901
20264,Khulna,Othres,2011,3364,10711,10905
20265,Khulna,Rice,2011,8569,10711,10904
20266,Khulna,Potato,2011,10145,10712,10903
20267,Khulna,Maize,2012,5143,10710,10901
20268,Khulna,Othres,2012,4165,10711,10905
20269,Khulna,Rice,2012,8921,10711,10904
20270,Khulna,Potato,2012,7568,10712,10903
20271,Khulna,Maize,2013,5667,10710,10901
20272,Khulna,Othres,2013,2457,10711,10905
20273,Khulna,Rice,2013,7165,10711,10904
20274,Khulna,Potato,2013,9780,10712,10903
20275,Khulna,Maize,2014,5576,10710,10901
20276,Khulna,Othres,2014,5225,10711,10905
20277,Khulna,Rice,2014,8884,10711,10904
20278,Khulna,Potato,2014,7869,10712,10903
20279,Khulna,Maize,2015,5378,10710,10901
20280,Khulna,Othres,2015,4708,10711,10905
20281,Khulna,Rice,2015,10517,10711,10904
20282,Khulna,Potato,2015,8671,10712,10903
20283,Khulna,Maize,2016,5225,10710,10901
20284,Khulna,Othres,2016,4480,10711,10905
20285,Khulna,Rice,2016,12106,10711,10904
20286,Khulna,Potato,2016,8560,10712,10903
20287,Khulna,Maize,2017,5106,10710,10901
20288,Khulna,Othres,2017,5667,10711,10905
20289,Khulna,Rice,2017,9813,10711,10904
20290,Khulna,Potato,2017,9601,10712,10903
20291,Rajshahi,Othres,2008,5759,10713,10905
20292,Rajshahi,Potato,2008,10272,10714,10903
20293,Rajshahi,Rice,2008,14194,10715,10904
20294,Rajshahi,Othres,2009,4277,10713,10905
20295,Rajshahi,Potato,2009,8476,10714,10903
20296,Rajshahi,Rice,2009,15593,10715,10904
20297,Rajshahi,Othres,2010,2605,10713,10905
20298,Rajshahi,Potato,2010,7945,10714,10903
20299,Rajshahi,Rice,2010,17480,10715,10904
20300,Rajshahi,Othres,2011,4201,10713,10905
20301,Rajshahi,Potato,2011,7964,10714,10903
20302,Rajshahi,Rice,2011,19179,10715,10904
20303,Rajshahi,Othres,2012,4882,10713,10905
20304,Rajshahi,Potato,2012,7964,10714,10903
20305,Rajshahi,Rice,2012,14628,10715,10904
20306,Rajshahi,Othres,2013,5321,10713,10905
20307,Rajshahi,Potato,2013,7687,10714,10903
20308,Rajshahi,Rice,2013,18882,10715,10904
20309,Rajshahi,Othres,2014,4877,10713,10905
20310,Rajshahi,Potato,2014,9156,10714,10903
20311,Rajshahi,Rice,2014,14978,10715,10904
20312,Rajshahi,Othres,2015,5823,10713,10905
20313,Rajshahi,Potato,2015,8016,10714,10903
20314,Rajshahi,Rice,2015,18164,10715,10904
20315,Rajshahi,Othres,2016,2148,10713,10905
20316,Rajshahi,Potato,2016,10763,10714,10903
20317,Rajshahi,Rice,2016,16732,10715,10904
20318,Rajshahi,Othres,2017,5611,10713,10905
20319,Rajshahi,Potato,2017,8106,10714,10903
20320,Rajshahi,Rice,2017,15262,10715,10904
20321,Rangpur,Maize,2008,3259,10716,10901
20322,Rangpur,Othres,2008,2517,10717,10905
20323,Rangpur,Rice,2008,13259,10717,10904
20324,Rangpur,Potato,2008,9767,10718,10903
20325,Rangpur,Maize,2009,5593,10716,10901
20326,Rangpur,Othres,2009,5106,10717,10905
20327,Rangpur,Rice,2009,16095,10717,10904
20328,Rangpur,Potato,2009,9193,10718,10903
20329,Rangpur,Maize,2010,2790,10716,10901
20330,Rangpur,Othres,2010,4510,10717,10905
20331,Rangpur,Rice,2010,20253,10717,10904
20332,Rangpur,Potato,2010,9601,10718,10903
20333,Rangpur,Maize,2011,4569,10716,10901
20334,Rangpur,Othres,2011,5272,10717,10905
20335,Rangpur,Rice,2011,18605,10717,10904
20336,Rangpur,Potato,2011,8410,10718,10903
20337,Rangpur,Maize,2012,6720,10716,10901
20338,Rangpur,Othres,2012,5576,10717,10905
20339,Rangpur,Rice,2012,14201,10717,10904
20340,Rangpur,Potato,2012,9807,10718,10903
20341,Rangpur,Maize,2013,6533,10716,10901
20342,Rangpur,Othres,2013,6957,10717,10905
20343,Rangpur,Rice,2013,19576,10717,10904
20344,Rangpur,Potato,2013,8497,10718,10903
20345,Rangpur,Maize,2014,6491,10716,10901
20346,Rangpur,Othres,2014,3845,10717,10905
20347,Rangpur,Rice,2014,15321,10717,10904
20348,Rangpur,Potato,2014,7568,10718,10903
20349,Rangpur,Maize,2015,6957,10716,10901
20350,Rangpur,Othres,2015,6310,10717,10905
20351,Rangpur,Rice,2015,19487,10717,10904
20352,Rangpur,Potato,2015,7946,10718,10903
20353,Rangpur,Maize,2016,4877,10716,10901
20354,Rangpur,Othres,2016,3661,10717,10905
20355,Rangpur,Rice,2016,19508,10717,10904
20356,Rangpur,Potato,2016,9784,10718,10903
20357,Rangpur,Maize,2017,6732,10716,10901
20358,Rangpur,Othres,2017,4928,10717,10905
20359,Rangpur,Rice,2017,18902,10717,10904
20360,Rangpur,Potato,2017,7286,10718,10903
20361,Sylhet,Maize,2008,4813,10719,10901
20362,Sylhet,Othres,2008,5225,10720,10905
20363,Sylhet,Rice,2008,14813,10720,10904
20364,Sylhet,Potato,2008,8796,10721,10903
20365,Sylhet,Wheat,2008,5233,10721,10902
20366,Sylhet,Maize,2009,1095,10719,10901
20367,Sylhet,Othres,2009,4708,10720,10905
20368,Sylhet,Rice,2009,10480,10720,10904
20369,Sylhet,Potato,2009,8491,10721,10903
20370,Sylhet,Wheat,2009,7110,10721,10902
20371,Sylhet,Maize,2010,1780,10719,10901
20372,Sylhet,Othres,2010,5143,10720,10905
20373,Sylhet,Rice,2010,15667,10720,10904
20374,Sylhet,Potato,2010,8579,10721,10903
20375,Sylhet,Wheat,2010,6602,10721,10902
20376,Sylhet,Maize,2011,5197,10719,10901
20377,Sylhet,Othres,2011,5667,10720,10905
20378,Sylhet,Rice,2011,9510,10720,10904
20379,Sylhet,Potato,2011,7956,10721,10903
20380,Sylhet,Wheat,2011,5609,10721,10902
20381,Sylhet,Maize,2012,4821,10719,10901
20382,Sylhet,Othres,2012,5193,10720,10905
20383,Sylhet,Rice,2012,8272,10720,10904
20384,Sylhet,Potato,2012,8937,10721,10903
20385,Sylhet,Wheat,2012,6114,10721,10902
20386,Sylhet,Maize,2013,4459,10719,10901
20387,Sylhet,Othres,2013,5429,10720,10905
20388,Sylhet,Rice,2013,7193,10720,10904
20389,Sylhet,Potato,2013,8567,10721,10903
20390,Sylhet,Wheat,2013,30179,10721,10902
20391,Sylhet,Maize,2014,4804,10719,10901
20392,Sylhet,Othres,2014,5625,10720,10905
20393,Sylhet,Rice,2014,8957,10720,10904
20394,Sylhet,Potato,2014,9821,10721,10903
20395,Sylhet,Wheat,2014,7993,10721,10902
20396,Sylhet,Maize,2015,5429,10719,10901
20397,Sylhet,Othres,2015,5321,10720,10905
20398,Sylhet,Rice,2015,13845,10720,10904
20399,Sylhet,Potato,2015,9780,10721,10903
20400,Sylhet,Wheat,2015,5132,10721,10902
20401,Sylhet,Maize,2016,3845,10719,10901
20402,Sylhet,Othres,2016,4683,10720,10905
20403,Sylhet,Rice,2016,7427,10720,10904
20404,Sylhet,Potato,2016,7869,10721,10903
20405,Sylhet,Wheat,2016,6655,10721,10902
20406,Sylhet,Maize,2017,5823,10719,10901
20407,Sylhet,Othres,2017,4569,10720,10905
20408,Sylhet,Rice,2017,7665,10720,10904
20409,Sylhet,Potato,2017,7481,10721,10903
20410,Sylhet,Wheat,2017,5087,10721,10902
