Domain,Area Code,Area,Item Code,Item,Year Code,Year,Value
Crops,3,Rangpur,236,Soybeans,2014,2014,16908
Crops,3,Rangpur,15,Wheat,2014,2014,40001
Crops,3,Rangpur,56,Maize,2015,2015,69597
Crops,3,Rangpur,116,Potatoes,2015,2015,242574
Crops,3,Rangpur,236,Soybeans,2015,2015,25000
Crops,3,Rangpur,15,Wheat,2015,2015,39511
Crops,3,Rangpur,56,Maize,2016,2016,64877
Crops,3,Rangpur,116,Potatoes,2016,2016,245894
Crops,3,Rangpur,236,Soybeans,2016,2016,25152
Crops,3,Rangpur,15,Wheat,2016,2016,39000
Crops,4,Barisal,56,Maize,2000,2000,36186
Crops,4,Barisal,116,Potatoes,2000,2000,166143
Crops,4,Barisal,27,"Rice, paddy",2000,2000,13052
Crops,4,Barisal,83,Sorghum,2000,2000,69500
Crops,4,Barisal,15,Wheat,2000,2000,9194
Crops,4,Barisal,56,Maize,2001,2001,27175
Crops,4,Barisal,116,Potatoes,2001,2001,147018
Crops,4,Barisal,27,"Rice, paddy",2001,2001,12314
Crops,4,Barisal,83,Sorghum,2001,2001,27750
Crops,4,Barisal,15,Wheat,2001,2001,11104
Crops,4,Barisal,56,Maize,2002,2002,33480
Crops,4,Barisal,116,Potatoes,2002,2002,183774
Crops,4,Barisal,27,"Rice, paddy",2002,2002,12959
Crops,4,Barisal,83,Sorghum,2002,2002,33900
Crops,4,Barisal,15,Wheat,2002,2002,10739
Crops,4,Barisal,56,Maize,2003,2003,28853
Crops,4,Barisal,116,Potatoes,2003,2003,212037
Crops,4,Barisal,27,"Rice, paddy",2003,2003,12783
Crops,4,Barisal,83,Sorghum,2003,2003,26391
Crops,4,Barisal,15,Wheat,2003,2003,14480
Crops,4,Barisal,56,Maize,2004,2004,31729
Crops,4,Barisal,116,Potatoes,2004,2004,203585
Crops,4,Barisal,27,"Rice, paddy",2004,2004,12829
Crops,4,Barisal,83,Sorghum,2004,2004,43316
Crops,4,Barisal,15,Wheat,2004,2004,13582
Crops,4,Barisal,56,Maize,2005,2005,33864
Crops,4,Barisal,116,Potatoes,2005,2005,216267
Crops,4,Barisal,27,"Rice, paddy",2005,2005,12998
Crops,4,Barisal,83,Sorghum,2005,2005,33486
Crops,4,Barisal,15,Wheat,2005,2005,15057
Crops,4,Barisal,56,Maize,2006,2006,65668
Crops,4,Barisal,116,Potatoes,2006,2006,220689
Crops,4,Barisal,27,"Rice, paddy",2006,2006,12769
Crops,4,Barisal,83,Sorghum,2006,2006,56728
Crops,4,Barisal,15,Wheat,2006,2006,15068
Crops,4,Barisal,56,Maize,2007,2007,85625
Crops,4,Barisal,116,Potatoes,2007,2007,189927
Crops,4,Barisal,27,"Rice, paddy",2007,2007,13375
Crops,4,Barisal,83,Sorghum,2007,2007,119059
Crops,4,Barisal,15,Wheat,2007,2007,12742
Crops,4,Barisal,56,Maize,2008,2008,44714
Crops,4,Barisal,116,Potatoes,2008,2008,236393
Crops,4,Barisal,27,"Rice, paddy",2008,2008,13952
Crops,4,Barisal,83,Sorghum,2008,2008,61786
Crops,4,Barisal,15,Wheat,2008,2008,11038
Crops,4,Barisal,56,Maize,2009,2009,30914
Crops,4,Barisal,116,Potatoes,2009,2009,250764
Crops,4,Barisal,27,"Rice, paddy",2009,2009,14594
Crops,4,Barisal,83,Sorghum,2009,2009,90465
Crops,4,Barisal,15,Wheat,2009,2009,15975
Crops,4,Barisal,56,Maize,2010,2010,25827
Crops,4,Barisal,116,Potatoes,2010,2010,270526
Crops,4,Barisal,27,"Rice, paddy",2010,2010,15305
Crops,4,Barisal,83,Sorghum,2010,2010,30286
Crops,4,Barisal,15,Wheat,2010,2010,14838
Crops,4,Barisal,56,Maize,2011,2011,23374
Crops,4,Barisal,116,Potatoes,2011,2011,292806
Crops,4,Barisal,27,"Rice, paddy",2011,2011,16081
Crops,4,Barisal,83,Sorghum,2011,2011,100000
Crops,4,Barisal,15,Wheat,2011,2011,17405
Crops,4,Barisal,56,Maize,2012,2012,25583
Crops,4,Barisal,116,Potatoes,2012,2012,304291
Crops,4,Barisal,27,"Rice, paddy",2012,2012,16667
Crops,4,Barisal,83,Sorghum,2012,2012,206000
Crops,4,Barisal,15,Wheat,2012,2012,17639
Crops,4,Barisal,56,Maize,2013,2013,33649
Crops,4,Barisal,116,Potatoes,2013,2013,303218
Crops,4,Barisal,27,"Rice, paddy",2013,2013,17778
Crops,4,Barisal,83,Sorghum,2013,2013,60000
Crops,4,Barisal,15,Wheat,2013,2013,19100
Crops,4,Barisal,56,Maize,2014,2014,26165
Crops,4,Barisal,116,Potatoes,2014,2014,299247
Crops,4,Barisal,27,"Rice, paddy",2014,2014,17778
Crops,4,Barisal,83,Sorghum,2014,2014,62000
Crops,4,Barisal,15,Wheat,2014,2014,14753
Crops,4,Barisal,56,Maize,2015,2015,39242
Crops,4,Barisal,116,Potatoes,2015,2015,296099
Crops,4,Barisal,27,"Rice, paddy",2015,2015,17579
Crops,4,Barisal,83,Sorghum,2015,2015,121689
Crops,4,Barisal,15,Wheat,2015,2015,14640
Crops,4,Barisal,56,Maize,2016,2016,45122
Crops,4,Barisal,116,Potatoes,2016,2016,306198
Crops,4,Barisal,27,"Rice, paddy",2016,2016,17502
Crops,4,Barisal,83,Sorghum,2016,2016,255800
Crops,4,Barisal,15,Wheat,2016,2016,16912
Crops,5,Khulna,125,Cassava,2000,2000,58282
Crops,5,Khulna,137,Yams,2000,2000,36821
Crops,5,Khulna,125,Cassava,2001,2001,56442
Crops,5,Khulna,137,Yams,2001,2001,34507
Crops,5,Khulna,125,Cassava,2002,2002,55111
Crops,5,Khulna,137,Yams,2002,2002,35078
Crops,5,Khulna,125,Cassava,2003,2003,30000
Crops,5,Khulna,137,Yams,2003,2003,28252
Crops,5,Khulna,125,Cassava,2004,2004,66667
Crops,5,Khulna,137,Yams,2004,2004,32000
Crops,5,Khulna,125,Cassava,2005,2005,58492
Crops,5,Khulna,137,Yams,2005,2005,35546
Crops,5,Khulna,125,Cassava,2006,2006,58361
Crops,5,Khulna,137,Yams,2006,2006,35230
Crops,5,Khulna,125,Cassava,2007,2007,58106
Crops,5,Khulna,137,Yams,2007,2007,31538
Crops,5,Khulna,125,Cassava,2008,2008,57793
Crops,5,Khulna,137,Yams,2008,2008,34425
Crops,5,Khulna,125,Cassava,2009,2009,57246
Crops,5,Khulna,137,Yams,2009,2009,34411
Crops,5,Khulna,125,Cassava,2010,2010,56661
Crops,5,Khulna,137,Yams,2010,2010,34578
Crops,5,Khulna,125,Cassava,2011,2011,56111
Crops,5,Khulna,137,Yams,2011,2011,34910
Crops,5,Khulna,125,Cassava,2012,2012,57143
Crops,5,Khulna,137,Yams,2012,2012,36000
Crops,5,Khulna,125,Cassava,2013,2013,56667
Crops,5,Khulna,137,Yams,2013,2013,39216
Crops,5,Khulna,125,Cassava,2014,2014,55876
Crops,5,Khulna,137,Yams,2014,2014,37262
Crops,5,Khulna,125,Cassava,2015,2015,56378
Crops,5,Khulna,137,Yams,2015,2015,35159
Crops,5,Khulna,125,Cassava,2016,2016,57225
Crops,5,Khulna,137,Yams,2016,2016,36022
Crops,7,Chittagong,125,Cassava,2000,2000,82992
Crops,7,Chittagong,56,Maize,2000,2000,5745
Crops,7,Chittagong,116,Potatoes,2000,2000,29885
Crops,7,Chittagong,27,"Rice, paddy",2000,2000,13454
Crops,7,Chittagong,83,Sorghum,2000,2000,3333
Crops,7,Chittagong,236,Soybeans,2000,2000,2333
Crops,7,Chittagong,122,Sweet potatoes,2000,2000,34938
Crops,7,Chittagong,15,Wheat,2000,2000,17023
Crops,7,Chittagong,125,Cassava,2001,2001,94072
Crops,7,Chittagong,56,Maize,2001,2001,5754
Crops,7,Chittagong,116,Potatoes,2001,2001,42552
Crops,7,Chittagong,27,"Rice, paddy",2001,2001,13701
Crops,7,Chittagong,83,Sorghum,2001,2001,3571
Crops,7,Chittagong,236,Soybeans,2001,2001,2500
Crops,7,Chittagong,122,Sweet potatoes,2001,2001,44458
Crops,7,Chittagong,15,Wheat,2001,2001,16667
Crops,7,Chittagong,125,Cassava,2002,2002,110071
Crops,7,Chittagong,56,Maize,2002,2002,6706
Crops,7,Chittagong,116,Potatoes,2002,2002,42754
Crops,7,Chittagong,27,"Rice, paddy",2002,2002,13198
Crops,7,Chittagong,83,Sorghum,2002,2002,3400
Crops,7,Chittagong,236,Soybeans,2002,2002,2857
Crops,7,Chittagong,122,Sweet potatoes,2002,2002,42190
Crops,7,Chittagong,15,Wheat,2002,2002,15455
Crops,7,Chittagong,125,Cassava,2003,2003,95667
Crops,7,Chittagong,56,Maize,2003,2003,7559
Crops,7,Chittagong,116,Potatoes,2003,2003,45212
Crops,7,Chittagong,27,"Rice, paddy",2003,2003,13768
Crops,7,Chittagong,83,Sorghum,2003,2003,2941
Crops,7,Chittagong,236,Soybeans,2003,2003,3250
Crops,7,Chittagong,122,Sweet potatoes,2003,2003,38231
Crops,7,Chittagong,15,Wheat,2003,2003,13898
Crops,7,Chittagong,125,Cassava,2004,2004,125605
Crops,7,Chittagong,56,Maize,2004,2004,5404
Crops,7,Chittagong,116,Potatoes,2004,2004,20150
Crops,7,Chittagong,27,"Rice, paddy",2004,2004,111584
Crops,7,Chittagong,83,Sorghum,2004,2004,3333
Crops,7,Chittagong,236,Soybeans,2004,2004,3600
Crops,7,Chittagong,122,Sweet potatoes,2004,2004,45360
Crops,7,Chittagong,15,Wheat,2004,2004,12442
Crops,7,Chittagong,125,Cassava,2005,2005,117628
Crops,7,Chittagong,56,Maize,2005,2005,6736
Crops,7,Chittagong,116,Potatoes,2005,2005,23646
Crops,7,Chittagong,27,"Rice, paddy",2005,2005,6977
Crops,7,Chittagong,83,Sorghum,2005,2005,3333
Crops,7,Chittagong,236,Soybeans,2005,2005,3793
Crops,7,Chittagong,122,Sweet potatoes,2005,2005,46159
Crops,7,Chittagong,15,Wheat,2005,2005,10946
Crops,7,Chittagong,125,Cassava,2006,2006,117201
Crops,7,Chittagong,56,Maize,2006,2006,4687
Crops,7,Chittagong,116,Potatoes,2006,2006,52148
Crops,7,Chittagong,27,"Rice, paddy",2006,2006,4947
Crops,7,Chittagong,83,Sorghum,2006,2006,4091
Crops,7,Chittagong,236,Soybeans,2006,2006,4286
Crops,7,Chittagong,122,Sweet potatoes,2006,2006,44240
Crops,7,Chittagong,15,Wheat,2006,2006,10000
Crops,7,Chittagong,125,Cassava,2007,2007,115387
Crops,7,Chittagong,56,Maize,2007,2007,5091
Crops,7,Chittagong,116,Potatoes,2007,2007,62138
Crops,7,Chittagong,27,"Rice, paddy",2007,2007,5143
Crops,7,Chittagong,83,Sorghum,2007,2007,4031
Crops,7,Chittagong,236,Soybeans,2007,2007,6883
Crops,7,Chittagong,122,Sweet potatoes,2007,2007,58855
Crops,7,Chittagong,15,Wheat,2007,2007,10000
Crops,7,Chittagong,125,Cassava,2008,2008,148084
Crops,7,Chittagong,56,Maize,2008,2008,7946
Crops,7,Chittagong,116,Potatoes,2008,2008,85085
Crops,7,Chittagong,27,"Rice, paddy",2008,2008,5084
Crops,7,Chittagong,83,Sorghum,2008,2008,929
Crops,7,Chittagong,236,Soybeans,2008,2008,8575
Crops,7,Chittagong,122,Sweet potatoes,2008,2008,65437
Crops,7,Chittagong,15,Wheat,2008,2008,10000
Crops,7,Chittagong,125,Cassava,2009,2009,151759
Crops,7,Chittagong,56,Maize,2009,2009,6614
Crops,7,Chittagong,116,Potatoes,2009,2009,86509
Crops,7,Chittagong,27,"Rice, paddy",2009,2009,6028
Crops,7,Chittagong,83,Sorghum,2009,2009,2480
Crops,7,Chittagong,236,Soybeans,2009,2009,4449
Crops,7,Chittagong,122,Sweet potatoes,2009,2009,66475
Crops,7,Chittagong,15,Wheat,2009,2009,10000
Crops,7,Chittagong,125,Cassava,2010,2010,155782
Crops,7,Chittagong,56,Maize,2010,2010,7200
Crops,7,Chittagong,116,Potatoes,2010,2010,87425
Crops,7,Chittagong,27,"Rice, paddy",2010,2010,7403
Crops,7,Chittagong,83,Sorghum,2010,2010,2814
Crops,7,Chittagong,236,Soybeans,2010,2010,4446
Crops,7,Chittagong,122,Sweet potatoes,2010,2010,63001
Crops,7,Chittagong,15,Wheat,2010,2010,10526
Crops,7,Chittagong,125,Cassava,2011,2011,133649
Crops,7,Chittagong,56,Maize,2011,2011,7376
Crops,7,Chittagong,116,Potatoes,2011,2011,81366
Crops,7,Chittagong,27,"Rice, paddy",2011,2011,8914
Crops,7,Chittagong,83,Sorghum,2011,2011,3320
Crops,7,Chittagong,236,Soybeans,2011,2011,5294
Crops,7,Chittagong,122,Sweet potatoes,2011,2011,65512
Crops,7,Chittagong,15,Wheat,2011,2011,10959
Crops,7,Chittagong,125,Cassava,2012,2012,100073
Crops,7,Chittagong,56,Maize,2012,2012,7770
Crops,7,Chittagong,116,Potatoes,2012,2012,69381
Crops,7,Chittagong,27,"Rice, paddy",2012,2012,7703
Crops,7,Chittagong,83,Sorghum,2012,2012,998
Crops,7,Chittagong,236,Soybeans,2012,2012,1641
Crops,7,Chittagong,122,Sweet potatoes,2012,2012,52954
Crops,7,Chittagong,15,Wheat,2012,2012,11258
Crops,7,Chittagong,125,Cassava,2013,2013,140517
Crops,7,Chittagong,56,Maize,2013,2013,9467
Crops,7,Chittagong,116,Potatoes,2013,2013,63303
Crops,7,Chittagong,27,"Rice, paddy",2013,2013,12744
Crops,7,Chittagong,83,Sorghum,2013,2013,2415
Crops,7,Chittagong,236,Soybeans,2013,2013,4405
Crops,7,Chittagong,122,Sweet potatoes,2013,2013,73409
Crops,7,Chittagong,15,Wheat,2013,2013,9022
Crops,7,Chittagong,125,Cassava,2014,2014,101060
Crops,7,Chittagong,56,Maize,2014,2014,10386
Crops,7,Chittagong,116,Potatoes,2014,2014,63239
Crops,7,Chittagong,27,"Rice, paddy",2014,2014,14064
Crops,7,Chittagong,83,Sorghum,2014,2014,2421
Crops,7,Chittagong,236,Soybeans,2014,2014,5840
Crops,7,Chittagong,122,Sweet potatoes,2014,2014,114342
Crops,7,Chittagong,15,Wheat,2014,2014,8264
Crops,7,Chittagong,125,Cassava,2015,2015,101331
Crops,7,Chittagong,56,Maize,2015,2015,11234
Crops,7,Chittagong,116,Potatoes,2015,2015,62866
Crops,7,Chittagong,27,"Rice, paddy",2015,2015,15068
Crops,7,Chittagong,83,Sorghum,2015,2015,2503
Crops,7,Chittagong,236,Soybeans,2015,2015,6513
Crops,7,Chittagong,122,Sweet potatoes,2015,2015,115174
Crops,7,Chittagong,15,Wheat,2015,2015,7766
Crops,7,Chittagong,125,Cassava,2016,2016,108518
Crops,7,Chittagong,56,Maize,2016,2016,10789
Crops,7,Chittagong,116,Potatoes,2016,2016,58913
Crops,7,Chittagong,27,"Rice, paddy",2016,2016,15477
Crops,7,Chittagong,83,Sorghum,2016,2016,2329
Crops,7,Chittagong,236,Soybeans,2016,2016,6175
Crops,7,Chittagong,122,Sweet potatoes,2016,2016,98432
Crops,7,Chittagong,15,Wheat,2016,2016,7269
Crops,8,Mymensingh,125,Cassava,2000,2000,45227
Crops,8,Mymensingh,56,Maize,2000,2000,16000
Crops,8,Mymensingh,122,Sweet potatoes,2000,2000,59611
Crops,8,Mymensingh,137,Yams,2000,2000,36646
Crops,8,Mymensingh,125,Cassava,2001,2001,44622
Crops,8,Mymensingh,56,Maize,2001,2001,16148
Crops,8,Mymensingh,122,Sweet potatoes,2001,2001,59521
Crops,8,Mymensingh,137,Yams,2001,2001,36667
Crops,8,Mymensingh,125,Cassava,2002,2002,45000
Crops,8,Mymensingh,56,Maize,2002,2002,15625
Crops,8,Mymensingh,122,Sweet potatoes,2002,2002,58929
Crops,8,Mymensingh,137,Yams,2002,2002,36250
Crops,8,Mymensingh,125,Cassava,2003,2003,40000
Crops,8,Mymensingh,56,Maize,2003,2003,15714
Crops,8,Mymensingh,122,Sweet potatoes,2003,2003,58333
Crops,8,Mymensingh,137,Yams,2003,2003,35556
Crops,8,Mymensingh,125,Cassava,2004,2004,41667
Crops,8,Mymensingh,56,Maize,2004,2004,15789
Crops,8,Mymensingh,122,Sweet potatoes,2004,2004,57143
Crops,8,Mymensingh,137,Yams,2004,2004,35000
Crops,8,Mymensingh,125,Cassava,2005,2005,43552
Crops,8,Mymensingh,56,Maize,2005,2005,15983
Crops,8,Mymensingh,122,Sweet potatoes,2005,2005,59856
Crops,8,Mymensingh,137,Yams,2005,2005,34962
Crops,8,Mymensingh,125,Cassava,2006,2006,40000
Crops,8,Mymensingh,56,Maize,2006,2006,16250
Crops,8,Mymensingh,122,Sweet potatoes,2006,2006,62500
Crops,8,Mymensingh,137,Yams,2006,2006,34682
Crops,8,Mymensingh,125,Cassava,2007,2007,44708
Crops,8,Mymensingh,56,Maize,2007,2007,16026
Crops,8,Mymensingh,122,Sweet potatoes,2007,2007,61392
Crops,8,Mymensingh,137,Yams,2007,2007,34414
Crops,8,Mymensingh,125,Cassava,2008,2008,46194
Crops,8,Mymensingh,56,Maize,2008,2008,16190
Crops,8,Mymensingh,122,Sweet potatoes,2008,2008,62222
Crops,8,Mymensingh,137,Yams,2008,2008,34175
Crops,8,Mymensingh,125,Cassava,2009,2009,47448
Crops,8,Mymensingh,56,Maize,2009,2009,15919
Crops,8,Mymensingh,122,Sweet potatoes,2009,2009,62125
Crops,8,Mymensingh,137,Yams,2009,2009,33901
Crops,8,Mymensingh,125,Cassava,2010,2010,48683
Crops,8,Mymensingh,56,Maize,2010,2010,15889
Crops,8,Mymensingh,122,Sweet potatoes,2010,2010,62530
Crops,8,Mymensingh,137,Yams,2010,2010,33625
Crops,8,Mymensingh,125,Cassava,2011,2011,49928
Crops,8,Mymensingh,56,Maize,2011,2011,16017
Crops,8,Mymensingh,122,Sweet potatoes,2011,2011,62955
Crops,8,Mymensingh,137,Yams,2011,2011,33345
Crops,8,Mymensingh,125,Cassava,2012,2012,57500
Crops,8,Mymensingh,56,Maize,2012,2012,15999
Crops,8,Mymensingh,122,Sweet potatoes,2012,2012,65000
Crops,8,Mymensingh,137,Yams,2012,2012,31250
Crops,8,Mymensingh,125,Cassava,2013,2013,52096
Crops,8,Mymensingh,56,Maize,2013,2013,15980
Crops,8,Mymensingh,122,Sweet potatoes,2013,2013,63759
Crops,8,Mymensingh,137,Yams,2013,2013,32707
Crops,8,Mymensingh,125,Cassava,2014,2014,51993
Crops,8,Mymensingh,56,Maize,2014,2014,15962
Crops,8,Mymensingh,122,Sweet potatoes,2014,2014,63106
Crops,8,Mymensingh,137,Yams,2014,2014,33778
Crops,8,Mymensingh,125,Cassava,2015,2015,53321
Crops,8,Mymensingh,56,Maize,2015,2015,15944
Crops,8,Mymensingh,122,Sweet potatoes,2015,2015,63399
Crops,8,Mymensingh,137,Yams,2015,2015,33987
Crops,8,Mymensingh,125,Cassava,2016,2016,54164
Crops,8,Mymensingh,56,Maize,2016,2016,15925
Crops,8,Mymensingh,122,Sweet potatoes,2016,2016,63598
Crops,8,Mymensingh,137,Yams,2016,2016,33911
Crops,9,Sylhet,125,Cassava,2000,2000,100000
Crops,9,Sylhet,56,Maize,2000,2000,54329
Crops,9,Sylhet,116,Potatoes,2000,2000,277566
Crops,9,Sylhet,27,"Rice, paddy",2000,2000,47798
Crops,9,Sylhet,83,Sorghum,2000,2000,46477
Crops,9,Sylhet,236,Soybeans,2000,2000,23312
Crops,9,Sylhet,122,Sweet potatoes,2000,2000,151462
Crops,9,Sylhet,15,Wheat,2000,2000,24873
Crops,9,Sylhet,125,Cassava,2001,2001,100000
Crops,9,Sylhet,56,Maize,2001,2001,54553
Crops,9,Sylhet,116,Potatoes,2001,2001,283768
Crops,9,Sylhet,27,"Rice, paddy",2001,2001,57495
Crops,9,Sylhet,83,Sorghum,2001,2001,47429
Crops,9,Sylhet,236,Soybeans,2001,2001,25846
Crops,9,Sylhet,122,Sweet potatoes,2001,2001,155212
Crops,9,Sylhet,15,Wheat,2001,2001,24934
Crops,9,Sylhet,125,Cassava,2002,2002,100000
Crops,9,Sylhet,56,Maize,2002,2002,60791
Crops,9,Sylhet,116,Potatoes,2002,2002,251347
Crops,9,Sylhet,27,"Rice, paddy",2002,2002,57197
Crops,9,Sylhet,83,Sorghum,2002,2002,52691
Crops,9,Sylhet,236,Soybeans,2002,2002,26304
Crops,9,Sylhet,122,Sweet potatoes,2002,2002,155890
Crops,9,Sylhet,15,Wheat,2002,2002,22398
Crops,9,Sylhet,125,Cassava,2003,2003,100000
Crops,9,Sylhet,56,Maize,2003,2003,64767
