Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2008,2008,hg/ha,26277
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2008,2008,hg/ha,140000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2008,2008,hg/ha,32211
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2008,2008,hg/ha,12263
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2009,2009,hg/ha,21429
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2009,2009,hg/ha,140000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2009,2009,hg/ha,32250
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2009,2009,hg/ha,19666
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2010,2010,hg/ha,16448
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2010,2010,hg/ha,120000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2010,2010,hg/ha,32308
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2010,2010,hg/ha,19252
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2011,2011,hg/ha,16400
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2011,2011,hg/ha,100000
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2011,2011,hg/ha,32000
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2011,2011,hg/ha,15179
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2012,2012,hg/ha,21986
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2012,2012,hg/ha,109524
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2012,2012,hg/ha,24390
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2012,2012,hg/ha,20104
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2013,2013,hg/ha,21972
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2013,2013,hg/ha,131960
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2013,2013,hg/ha,24980
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2013,2013,hg/ha,20248
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2014,2014,hg/ha,24882
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2014,2014,hg/ha,136054
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2014,2014,hg/ha,24409
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2014,2014,hg/ha,20237
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2015,2015,hg/ha,21457
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2015,2015,hg/ha,130903
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2015,2015,hg/ha,25000
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2015,2015,hg/ha,21959
QC,Crops,2,Dhaka,5419,Yield,56,Maize,2016,2016,hg/ha,20517
QC,Crops,2,Dhaka,5419,Yield,116,Potatoes,2016,2016,hg/ha,119868
QC,Crops,2,Dhaka,5419,Yield,27,"Rice, paddy",2016,2016,hg/ha,29963
QC,Crops,2,Dhaka,5419,Yield,15,Wheat,2016,2016,hg/ha,19803
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2000,2000,hg/ha,38811
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2000,2000,hg/ha,141228
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2000,2000,hg/ha,15000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2000,2000,hg/ha,30455
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2001,2001,hg/ha,38135
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2001,2001,hg/ha,148818
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2001,2001,hg/ha,20000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2001,2001,hg/ha,28220
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2002,2002,hg/ha,39460
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2002,2002,hg/ha,153868
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2002,2002,hg/ha,20000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2002,2002,hg/ha,31617
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2003,2003,hg/ha,42805
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2003,2003,hg/ha,151301
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2003,2003,hg/ha,12107
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2003,2003,hg/ha,28629
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2004,2004,hg/ha,46197
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2004,2004,hg/ha,149346
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2004,2004,hg/ha,13333
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2004,2004,hg/ha,31130
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2005,2005,hg/ha,45442
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2005,2005,hg/ha,167061
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2005,2005,hg/ha,17500
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2005,2005,hg/ha,31582
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2006,2006,hg/ha,50111
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2006,2006,hg/ha,170745
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2006,2006,hg/ha,20000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2006,2006,hg/ha,30787
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2007,2007,hg/ha,46732
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2007,2007,hg/ha,188902
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2007,2007,hg/ha,20000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2007,2007,hg/ha,35496
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2008,2008,hg/ha,50000
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2008,2008,hg/ha,193878
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2008,2008,hg/ha,20000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2008,2008,hg/ha,40168
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2009,2009,hg/ha,55693
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2009,2009,hg/ha,219780
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2009,2009,hg/ha,16667
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2009,2009,hg/ha,40229
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2010,2010,hg/ha,66790
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2010,2010,hg/ha,231111
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2010,2010,hg/ha,16667
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2010,2010,hg/ha,39905
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2011,2011,hg/ha,59869
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2011,2011,hg/ha,242211
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2011,2011,hg/ha,18519
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2011,2011,hg/ha,42301
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2012,2012,hg/ha,67290
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2012,2012,hg/ha,250538
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2012,2012,hg/ha,13333
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2012,2012,hg/ha,41096
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2013,2013,hg/ha,69533
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2013,2013,hg/ha,260110
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2013,2013,hg/ha,10000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2013,2013,hg/ha,41292
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2014,2014,hg/ha,69091
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2014,2014,hg/ha,250000
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2014,2014,hg/ha,16908
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2014,2014,hg/ha,40001
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2015,2015,hg/ha,69597
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2015,2015,hg/ha,242574
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2015,2015,hg/ha,25000
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2015,2015,hg/ha,39511
QC,Crops,3,Rangpur,5419,Yield,56,Maize,2016,2016,hg/ha,64877
QC,Crops,3,Rangpur,5419,Yield,116,Potatoes,2016,2016,hg/ha,245894
QC,Crops,3,Rangpur,5419,Yield,236,Soybeans,2016,2016,hg/ha,25152
QC,Crops,3,Rangpur,5419,Yield,15,Wheat,2016,2016,hg/ha,39000
QC,Crops,4,Barisal,5419,Yield,56,Maize,2000,2000,hg/ha,36186
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2000,2000,hg/ha,166143
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2000,2000,hg/ha,13052
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2000,2000,hg/ha,69500
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2000,2000,hg/ha,9194
QC,Crops,4,Barisal,5419,Yield,56,Maize,2001,2001,hg/ha,27175
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2001,2001,hg/ha,147018
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2001,2001,hg/ha,12314
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2001,2001,hg/ha,27750
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2001,2001,hg/ha,11104
QC,Crops,4,Barisal,5419,Yield,56,Maize,2002,2002,hg/ha,33480
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2002,2002,hg/ha,183774
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2002,2002,hg/ha,12959
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2002,2002,hg/ha,33900
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2002,2002,hg/ha,10739
QC,Crops,4,Barisal,5419,Yield,56,Maize,2003,2003,hg/ha,28853
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2003,2003,hg/ha,212037
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2003,2003,hg/ha,12783
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2003,2003,hg/ha,26391
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2003,2003,hg/ha,14480
QC,Crops,4,Barisal,5419,Yield,56,Maize,2004,2004,hg/ha,31729
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2004,2004,hg/ha,203585
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2004,2004,hg/ha,12829
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2004,2004,hg/ha,43316
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2004,2004,hg/ha,13582
QC,Crops,4,Barisal,5419,Yield,56,Maize,2005,2005,hg/ha,33864
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2005,2005,hg/ha,216267
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2005,2005,hg/ha,12998
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2005,2005,hg/ha,33486
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2005,2005,hg/ha,15057
QC,Crops,4,Barisal,5419,Yield,56,Maize,2006,2006,hg/ha,65668
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2006,2006,hg/ha,220689
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2006,2006,hg/ha,12769
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2006,2006,hg/ha,56728
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2006,2006,hg/ha,15068
QC,Crops,4,Barisal,5419,Yield,56,Maize,2007,2007,hg/ha,85625
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2007,2007,hg/ha,189927
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2007,2007,hg/ha,13375
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2007,2007,hg/ha,119059
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2007,2007,hg/ha,12742
QC,Crops,4,Barisal,5419,Yield,56,Maize,2008,2008,hg/ha,44714
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2008,2008,hg/ha,236393
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2008,2008,hg/ha,13952
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2008,2008,hg/ha,61786
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2008,2008,hg/ha,11038
QC,Crops,4,Barisal,5419,Yield,56,Maize,2009,2009,hg/ha,30914
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2009,2009,hg/ha,250764
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2009,2009,hg/ha,14594
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2009,2009,hg/ha,90465
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2009,2009,hg/ha,15975
QC,Crops,4,Barisal,5419,Yield,56,Maize,2010,2010,hg/ha,25827
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2010,2010,hg/ha,270526
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2010,2010,hg/ha,15305
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2010,2010,hg/ha,30286
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2010,2010,hg/ha,14838
QC,Crops,4,Barisal,5419,Yield,56,Maize,2011,2011,hg/ha,23374
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2011,2011,hg/ha,292806
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2011,2011,hg/ha,16081
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2011,2011,hg/ha,100000
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2011,2011,hg/ha,17405
QC,Crops,4,Barisal,5419,Yield,56,Maize,2012,2012,hg/ha,25583
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2012,2012,hg/ha,304291
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2012,2012,hg/ha,16667
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2012,2012,hg/ha,206000
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2012,2012,hg/ha,17639
QC,Crops,4,Barisal,5419,Yield,56,Maize,2013,2013,hg/ha,33649
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2013,2013,hg/ha,303218
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2013,2013,hg/ha,17778
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2013,2013,hg/ha,60000
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2013,2013,hg/ha,19100
QC,Crops,4,Barisal,5419,Yield,56,Maize,2014,2014,hg/ha,26165
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2014,2014,hg/ha,299247
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2014,2014,hg/ha,17778
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2014,2014,hg/ha,62000
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2014,2014,hg/ha,14753
QC,Crops,4,Barisal,5419,Yield,56,Maize,2015,2015,hg/ha,39242
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2015,2015,hg/ha,296099
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2015,2015,hg/ha,17579
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2015,2015,hg/ha,121689
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2015,2015,hg/ha,14640
QC,Crops,4,Barisal,5419,Yield,56,Maize,2016,2016,hg/ha,45122
QC,Crops,4,Barisal,5419,Yield,116,Potatoes,2016,2016,hg/ha,306198
QC,Crops,4,Barisal,5419,Yield,27,"Rice, paddy",2016,2016,hg/ha,17502
QC,Crops,4,Barisal,5419,Yield,83,Sorghum,2016,2016,hg/ha,255800
QC,Crops,4,Barisal,5419,Yield,15,Wheat,2016,2016,hg/ha,16912
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2000,2000,hg/ha,58282
QC,Crops,5,Khulna,5419,Yield,137,Yams,2000,2000,hg/ha,36821
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2001,2001,hg/ha,56442
QC,Crops,5,Khulna,5419,Yield,137,Yams,2001,2001,hg/ha,34507
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2002,2002,hg/ha,55111
QC,Crops,5,Khulna,5419,Yield,137,Yams,2002,2002,hg/ha,35078
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2003,2003,hg/ha,30000
QC,Crops,5,Khulna,5419,Yield,137,Yams,2003,2003,hg/ha,28252
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2004,2004,hg/ha,66667
QC,Crops,5,Khulna,5419,Yield,137,Yams,2004,2004,hg/ha,32000
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2005,2005,hg/ha,58492
QC,Crops,5,Khulna,5419,Yield,137,Yams,2005,2005,hg/ha,35546
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2006,2006,hg/ha,58361
QC,Crops,5,Khulna,5419,Yield,137,Yams,2006,2006,hg/ha,35230
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2007,2007,hg/ha,58106
QC,Crops,5,Khulna,5419,Yield,137,Yams,2007,2007,hg/ha,31538
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2008,2008,hg/ha,57793
QC,Crops,5,Khulna,5419,Yield,137,Yams,2008,2008,hg/ha,34425
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2009,2009,hg/ha,57246
QC,Crops,5,Khulna,5419,Yield,137,Yams,2009,2009,hg/ha,34411
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2010,2010,hg/ha,56661
QC,Crops,5,Khulna,5419,Yield,137,Yams,2010,2010,hg/ha,34578
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2011,2011,hg/ha,56111
QC,Crops,5,Khulna,5419,Yield,137,Yams,2011,2011,hg/ha,34910
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2012,2012,hg/ha,57143
QC,Crops,5,Khulna,5419,Yield,137,Yams,2012,2012,hg/ha,36000
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2013,2013,hg/ha,56667
QC,Crops,5,Khulna,5419,Yield,137,Yams,2013,2013,hg/ha,39216
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2014,2014,hg/ha,55876
QC,Crops,5,Khulna,5419,Yield,137,Yams,2014,2014,hg/ha,37262
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2015,2015,hg/ha,56378
QC,Crops,5,Khulna,5419,Yield,137,Yams,2015,2015,hg/ha,35159
QC,Crops,5,Khulna,5419,Yield,125,Cassava,2016,2016,hg/ha,57225
QC,Crops,5,Khulna,5419,Yield,137,Yams,2016,2016,hg/ha,36022
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2000,2000,hg/ha,82992
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2000,2000,hg/ha,5745
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2000,2000,hg/ha,29885
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2000,2000,hg/ha,13454
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2000,2000,hg/ha,3333
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2000,2000,hg/ha,2333
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2000,2000,hg/ha,34938
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2000,2000,hg/ha,17023
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2001,2001,hg/ha,94072
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2001,2001,hg/ha,5754
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2001,2001,hg/ha,42552
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2001,2001,hg/ha,13701
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2001,2001,hg/ha,3571
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2001,2001,hg/ha,2500
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2001,2001,hg/ha,44458
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2001,2001,hg/ha,16667
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2002,2002,hg/ha,110071
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2002,2002,hg/ha,6706
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2002,2002,hg/ha,42754
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2002,2002,hg/ha,13198
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2002,2002,hg/ha,3400
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2002,2002,hg/ha,2857
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2002,2002,hg/ha,42190
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2002,2002,hg/ha,15455
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2003,2003,hg/ha,95667
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2003,2003,hg/ha,7559
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2003,2003,hg/ha,45212
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2003,2003,hg/ha,13768
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2003,2003,hg/ha,2941
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2003,2003,hg/ha,3250
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2003,2003,hg/ha,38231
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2003,2003,hg/ha,13898
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2004,2004,hg/ha,125605
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2004,2004,hg/ha,5404
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2004,2004,hg/ha,20150
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2004,2004,hg/ha,11584
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2004,2004,hg/ha,3333
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2004,2004,hg/ha,3600
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2004,2004,hg/ha,45360
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2004,2004,hg/ha,12442
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2005,2005,hg/ha,117628
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2005,2005,hg/ha,6736
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2005,2005,hg/ha,23646
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2005,2005,hg/ha,6977
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2005,2005,hg/ha,3333
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2005,2005,hg/ha,3793
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2005,2005,hg/ha,46159
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2005,2005,hg/ha,10946
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2006,2006,hg/ha,117201
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2006,2006,hg/ha,4687
QC,Crops,7,Chittagong,5419,Yield,116,Potatoes,2006,2006,hg/ha,52148
QC,Crops,7,Chittagong,5419,Yield,27,"Rice, paddy",2006,2006,hg/ha,4947
QC,Crops,7,Chittagong,5419,Yield,83,Sorghum,2006,2006,hg/ha,4091
QC,Crops,7,Chittagong,5419,Yield,236,Soybeans,2006,2006,hg/ha,4286
QC,Crops,7,Chittagong,5419,Yield,122,Sweet potatoes,2006,2006,hg/ha,44240
QC,Crops,7,Chittagong,5419,Yield,15,Wheat,2006,2006,hg/ha,10000
QC,Crops,7,Chittagong,5419,Yield,125,Cassava,2007,2007,hg/ha,115387
QC,Crops,7,Chittagong,5419,Yield,56,Maize,2007,2007,hg/ha,5091
